entity,code,year,schizophrenia,bipolar_disorder,eating_disorders,anxiety_disorders,drug_use_disorders,depression,alcohol_use_disorders
Afghanistan,AFG,2017,0.166157851965,0.708088873434999,0.107142265558,4.88248127473,2.47393386897,4.13634710028,0.661217393723
Albania,ALB,2017,0.201025478973,0.704479655103,0.174046095006,3.38524453734,0.517613960393,2.20841419824,1.8379547399
Algeria,DZA,2017,0.197913139914999,0.818687152645,0.213612216088,5.06587568443,1.71721825543,3.66109449605,0.665190886031
American Samoa,ASM,2017,0.248556654894,0.468304897786999,0.177807528145,3.31583375477,0.772801487795,2.93966806124,1.14227674545
Andean Latin America,,2017,0.201470997671,0.881737452369,0.355474693876,4.26773808406999,0.661481438263,2.61038511713,1.53357280215
Andorra,AND,2017,0.263512450809,0.963331292926,0.644558566578,5.30537469297,0.910066070297,3.72953168612,1.25605003594
Angola,AGO,2017,0.17279380396,0.623903582497,0.173642511006,3.29690630279,0.519555778533,4.16048419728,1.37824411741
Antigua and Barbuda,ATG,2017,0.206408818879999,0.925268968309,0.350367843984,4.60482344264,0.786238854526,2.55796305238,2.15973642072
Argentina,ARG,2017,0.19809369227,0.773376024046,0.404033163099,6.28367786059999,1.00890084038,3.66548827189999,1.82451465854
Armenia,ARM,2017,0.197364768091,0.717591362749,0.167047141359999,2.59281282375,0.504359711666,2.75458269616,1.96498793982999
Australasia,,2017,0.359990804015,1.15179030093,0.903106014446,6.88491299105,2.27676554359,4.52468861623,1.61358633621
Australia,AUS,2017,0.363326333425,1.1420970115,0.943081003971999,6.58430117714,2.31514207267,4.62388098607,1.51193514232
Austria,AUT,2017,0.256957852233,0.93979417437,0.675111961603,5.34127539525,0.902116974356,3.2609699942,1.82406509366
Azerbaijan,AZE,2017,0.199997827826,0.689806923974,0.204891197681,2.5831567362,0.486327895182999,2.59229296217,2.30588905326
Bahamas,BHS,2017,0.203668036148,0.889431839106,0.362750252266,4.65502415943,0.81665197722,2.62663305543,2.10837111147
Bahrain,BHR,2017,0.206968624015999,0.836822158798,0.273714301731,4.67330435973,1.69567382053,3.87910515284,0.723557569448
Bangladesh,BGD,2017,0.252599547699,0.583419095880999,0.137974267122,4.28398850162,0.512800136118,4.11061130998999,1.46219797003
Barbados,BRB,2017,0.229385586889,0.919956254648,0.320598997921,4.66304408878999,0.842954553876,2.76332220362,1.57764044329
Belarus,BLR,2017,0.197650078792999,0.699677096504,0.210693402008,2.94693198625,0.779867568734,4.02222608312,5.34288813216
Belgium,BEL,2017,0.258072602791,0.947158849539,0.603868895678,5.21264464436,0.823451382231,4.10918615476,1.46563856958
Belize,BLZ,2017,0.194921776429,0.881646522984,0.258710442087,4.56854773198,0.836791599092,2.83866680821,1.78401267364
Benin,BEN,2017,0.170321752983999,0.640205752532,0.120290320775999,2.90529373064,0.505540966887,3.62989898914,0.988583683488999
Bermuda,BMU,2017,0.221153779929,0.974986056679,0.491448911769,4.69281595169,0.853378869683999,2.8262925466,1.50691678164
Bhutan,BTN,2017,0.267637210022,0.595887021542,0.172339624531,3.80143151955,0.534974457794,3.43933373821999,2.37437288081999
Bolivia,BOL,2017,0.193935503544,0.854218133609,0.305250563203999,4.2436251608,0.886176711202,3.08590479324,1.60192270731
Bosnia and Herzegovina,BIH,2017,0.20070295069,0.718189697692,0.172474446404,3.4026360848,0.433415503059,2.3196099561,2.82863332116
Botswana,BWA,2017,0.181927802991,0.638942608735,0.227732855648,3.5063390343,0.752750450559,3.96812945655,1.61433918986
Brazil,BRA,2017,0.205534039798,1.10691471224,0.277050765272,6.06917950422,1.0616813337,3.29736759001,2.68358050526
Brunei,BRN,2017,0.272367500918999,0.629945103406999,0.536251850899,3.62141449499,0.906696952623,2.56198290667,0.791919193831
Bulgaria,BGR,2017,0.202455336778,0.630776128787,0.202411206361,3.58752080113999,0.70428917681,2.54314069114,1.82082614316
Burkina Faso,BFA,2017,0.164744558656,0.622073534636,0.113354225407,2.90023899431,0.444063303027,3.6942535918,1.00179607154
Burundi,BDI,2017,0.154394080898,0.613041852212,0.0908023408812,3.58576009808999,0.5000843212,3.72122770632,1.56930932534
Cambodia,KHM,2017,0.208266148232,0.509922388331,0.108378572317,3.28974518826,0.570337424577,3.09494529697999,0.844038411425
Cameroon,CMR,2017,0.170795518611,0.628202386552,0.133790101708,2.90866265178,0.588020694109,3.74564654244,1.02422661164
Canada,CAN,2017,0.315588104492,0.716413353796,0.477304277231,5.17821839452,2.27622881402,3.98879207345,1.61793704155
Cape Verde,CPV,2017,0.189879535964,0.710183999085,0.169251986576,2.99897722829,0.630609046745,4.08245123568,1.00767039782
Caribbean,,2017,0.193846543047,0.884517244597,0.259210421433,4.56304097616,0.733036119784999,3.06505896576,1.6621865369
Central African Republic,CAF,2017,0.149087097362,0.593029711716999,0.0891832048568,3.24999016614,0.516703024611,4.2117282286,1.40771199943
Central Asia,,2017,0.192410600638,0.672902474058,0.172626634741,2.57219034654,0.511942869084,2.96912001627,2.42285260309
Central Europe,,2017,0.205370728213,0.713509342536,0.217304702345,3.41522318976,0.677043264450999,2.43871286018,2.02122931219
"Central Europe, Eastern Europe, and Central Asia",,2017,0.197897741843,0.686837615957,0.205556690068,2.98341386341,0.718707551832,3.24367448114,3.50037824771
Central Latin America,,2017,0.207671038507,0.795330517763,0.286314539906,2.96042984611,0.822284354968,2.69777887738999,1.76219539738
Central Sub-Saharan Africa,,2017,0.161344423937,0.621204356359,0.117587838439,3.26321742314,0.521060885634,4.01792465587,1.36087463121
Chad,TCD,2017,0.168019370423,0.626774721351,0.122128893812999,2.88704925028,0.457399958972999,3.87483743869,0.943401226861
Chile,CHL,2017,0.201430396901,0.790591416643,0.416122857107999,6.27208431335,1.25715039624,4.05772314199999,2.44947021823
China,CHN,2017,0.338174072578,0.321906029616,0.159587521318,3.03096888849,1.11394315344,3.31130589749999,1.22090281616
Colombia,COL,2017,0.207210793076,0.768913491185,0.260257216714,2.51480277253,1.07552593882,2.19615411587999,1.75851240385
Comoros,COM,2017,0.170251722541,0.659469464827,0.110911467084999,3.64987700162,0.505442970977,3.33011431331,1.50999832823
Congo,COG,2017,0.169760114653,0.614345498481,0.161674794943,3.27074494306,0.560305689719,4.00829079152,1.44879047846
Costa Rica,CRI,2017,0.213890053455,0.843752675288,0.289341841884,2.93682933508,0.778956239284,2.90478753344,1.47259436533
Cote d'Ivoire,CIV,2017,0.170171181685,0.620476935449,0.136217031764,2.87931205349,0.503956745354,3.33798890428,1.00997384249
